location_id;location_name;locality;sensor_id;parameter;value;datetime
"5208";"SK0214A";"Banskobystrický kraj";"13452";"pm10";"44.9";"2024-01-29T20:00:00+01:00"
"5208";"SK0214A";"Banskobystrický kraj";"13451";"pm25";"27.395";"2024-01-29T20:00:00+01:00"
"5208";"SK0214A";"Banskobystrický kraj";"13447";"so2";"2.02266";"2024-01-29T20:00:00+01:00"
"2163373";"""Banska Bystrica - Stefanikovo nabrezie""";"Banska Bystrica";"7775883";"co";"658.532";"2025-04-09T08:00:00+02:00"
"2163373";"""Banska Bystrica - Stefanikovo nabrezie""";"Banska Bystrica";"7773581";"no2";"47.6662";"2025-04-09T08:00:00+02:00"
"2163373";"""Banska Bystrica - Stefanikovo nabrezie""";"Banska Bystrica";"7774939";"pm10";"34.516";"2025-04-09T08:00:00+02:00"
"2163373";"""Banska Bystrica - Stefanikovo nabrezie""";"Banska Bystrica";"7774135";"pm25";"15.965";"2025-04-09T08:00:00+02:00"
"2163373";"""Banska Bystrica - Stefanikovo nabrezie""";"Banska Bystrica";"7772751";"so2";"1.40501";"2025-04-09T08:00:00+02:00"
"5184";"SK0008A";"Žilinský kraj";"13401";"co";"897.26";"2024-01-29T20:00:00+01:00"
"5184";"SK0008A";"Žilinský kraj";"13400";"no2";"27.0242";"2024-01-29T20:00:00+01:00"
"5184";"SK0008A";"Žilinský kraj";"13398";"o3";"12.519";"2024-01-29T20:00:00+01:00"
"5184";"SK0008A";"Žilinský kraj";"13511";"pm10";"30.52";"2024-01-29T20:00:00+01:00"
"5184";"SK0008A";"Žilinský kraj";"13510";"pm25";"19.605";"2024-01-29T20:00:00+01:00"
"5184";"SK0008A";"Žilinský kraj";"13385";"so2";"4.52732";"2024-01-29T20:00:00+01:00"
"2163351";"""Ruzomberok - Riadok""";"Ruzomberok";"7773557";"co";"391.26800000000003";"2025-04-09T08:00:00+02:00"
"2163351";"""Ruzomberok - Riadok""";"Ruzomberok";"7772715";"no2";"42.1118";"2025-04-09T08:00:00+02:00"
"2163351";"""Ruzomberok - Riadok""";"Ruzomberok";"7773700";"o3";"11.8422";"2025-04-09T08:00:00+02:00"
"2163351";"""Ruzomberok - Riadok""";"Ruzomberok";"7773422";"pm10";"13.722";"2025-04-09T08:00:00+02:00"
"2163351";"""Ruzomberok - Riadok""";"Ruzomberok";"7775040";"pm25";"9.9333";"2025-04-09T08:00:00+02:00"
"2163351";"""Ruzomberok - Riadok""";"Ruzomberok";"7774793";"so2";"2.65149";"2025-04-09T08:00:00+02:00"
"3403806";"Ružomberok, Pivovarská";"";"12213614";"pm1";"18.027583599090576";"2025-04-09T09:00:00+02:00"
"3403806";"Ružomberok, Pivovarská";"";"12213615";"pm25";"26.78112506866455";"2025-04-09T09:00:00+02:00"
"3403806";"Ružomberok, Pivovarská";"";"12213616";"relativehumidity";"26.530333360036213";"2025-04-09T09:00:00+02:00"
"3403806";"Ružomberok, Pivovarská";"";"12213617";"temperature";"18.699583371480305";"2025-04-09T09:00:00+02:00"
"3403806";"Ružomberok, Pivovarská";"";"12213618";"um003";"3268.4562377929688";"2025-04-09T09:00:00+02:00"
"5195";"SK0264A";"Košický kraj";"13402";"pm10";"19.993";"2024-01-29T20:00:00+01:00"
"5195";"SK0264A";"Košický kraj";"13404";"pm25";"12.225";"2024-01-29T20:00:00+01:00"
"5202";"SK0266A";"Prešovský kraj";"13427";"co";"810.376";"2024-01-29T20:00:00+01:00"
"5202";"SK0266A";"Prešovský kraj";"13428";"no2";"71.6063";"2024-01-29T20:00:00+01:00"
"5202";"SK0266A";"Prešovský kraj";"13433";"pm10";"47.176";"2024-01-29T20:00:00+01:00"
"5202";"SK0266A";"Prešovský kraj";"13434";"pm25";"28.377";"2024-01-29T20:00:00+01:00"
"5203";"SK0016A";"Košický kraj";"13435";"o3";"21.636";"2024-01-29T20:00:00+01:00"
"5205";"""Kosice - Stefanikova""";"Kosice";"13437";"co";"432.332";"2025-04-09T08:00:00+02:00"
"5205";"""Kosice - Stefanikova""";"Kosice";"13438";"no2";"47.2226";"2025-04-09T08:00:00+02:00"
"5205";"""Kosice - Stefanikova""";"Kosice";"13442";"pm10";"26.068";"2025-04-09T08:00:00+02:00"
"5205";"""Kosice - Stefanikova""";"Kosice";"13445";"pm25";"13.417";"2025-04-09T08:00:00+02:00"
"5205";"""Kosice - Stefanikova""";"Kosice";"29085";"so2";"15.9709";"2025-04-09T08:00:00+02:00"
"2163377";"""Kosice - Amurska""";"Kosice - mestska cast Nad jazerom";"7774790";"pm10";"34.359";"2025-04-09T08:00:00+02:00"
"2163377";"""Kosice - Amurska""";"Kosice - mestska cast Nad jazerom";"7774331";"pm25";"19.202";"2025-04-09T08:00:00+02:00"
"2163382";"""Presov - arm.gen. L. Svobodu""";"Presov";"7773579";"co";"1118.24";"2025-04-09T08:00:00+02:00"
"2163382";"""Presov - arm.gen. L. Svobodu""";"Presov";"7775875";"no2";"56.5837";"2025-04-09T08:00:00+02:00"
"2163382";"""Presov - arm.gen. L. Svobodu""";"Presov";"7772776";"pm10";"33.211";"2025-04-09T08:00:00+02:00"
"2163382";"""Presov - arm.gen. L. Svobodu""";"Presov";"7773361";"pm25";"18.68";"2025-04-09T08:00:00+02:00"
"2163383";"""Kosice-Dumbierska""";"Kosice - mestska cast Sever";"7773134";"o3";"55.886";"2025-04-09T08:00:00+02:00"
"5185";"SK0265A";"Košický kraj";"13409";"co";"1065.81";"2024-01-29T20:00:00+01:00"
"5185";"SK0265A";"Košický kraj";"13413";"no2";"19.5559";"2024-01-29T20:00:00+01:00"
"5185";"SK0265A";"Košický kraj";"13420";"pm10";"52.441";"2024-01-29T20:00:00+01:00"
"5185";"SK0265A";"Košický kraj";"13425";"pm25";"51.868";"2024-01-29T20:00:00+01:00"
"5185";"SK0265A";"Košický kraj";"13386";"so2";"-0.48944";"2024-01-29T20:00:00+01:00"
"5213";"SK0041A";"Prešovský kraj";"13474";"no2";"33.8749";"2024-01-29T20:00:00+01:00"
"5213";"SK0041A";"Prešovský kraj";"13476";"o3";"16.4698";"2024-01-29T20:00:00+01:00"
"5213";"SK0041A";"Prešovský kraj";"2005375";"pm10";"2.4702";"2023-05-17T13:00:00+02:00"
"2163386";"""Poprad - Zeleznicna""";"Poprad";"7774447";"no2";"22.9727";"2025-04-09T08:00:00+02:00"
"2163386";"""Poprad - Zeleznicna""";"Poprad";"7772743";"pm10";"14.977";"2025-04-09T08:00:00+02:00"
"2163386";"""Poprad - Zeleznicna""";"Poprad";"7774759";"pm25";"11.347";"2025-04-09T08:00:00+02:00"
"2163389";"""Ganovce""";"Poprad";"7774475";"no2";"5.22167";"2025-04-09T08:00:00+02:00"
"2163389";"""Ganovce""";"Poprad";"7774405";"o3";"86.486";"2025-04-09T08:00:00+02:00"
"5184";"SK0008A";"Žilinský kraj";"13401";"co";"897.26";"2024-01-29T20:00:00+01:00"
"5184";"SK0008A";"Žilinský kraj";"13400";"no2";"27.0242";"2024-01-29T20:00:00+01:00"
"5184";"SK0008A";"Žilinský kraj";"13398";"o3";"12.519";"2024-01-29T20:00:00+01:00"
"5184";"SK0008A";"Žilinský kraj";"13511";"pm10";"30.52";"2024-01-29T20:00:00+01:00"
"5184";"SK0008A";"Žilinský kraj";"13510";"pm25";"19.605";"2024-01-29T20:00:00+01:00"
"5184";"SK0008A";"Žilinský kraj";"13385";"so2";"4.52732";"2024-01-29T20:00:00+01:00"
"9181";"SK0002R";"Žilinský kraj";"29064";"no2";"19.1544";"2024-01-29T20:00:00+01:00"
"9181";"SK0002R";"Žilinský kraj";"27553";"o3";"86.06";"2024-01-29T20:00:00+01:00"
"2163350";"""Liptovsky Mikulas - Skolska""";"Liptovsky Mikulas";"7773103";"no2";"35.9169";"2025-04-09T08:00:00+02:00"
"2163350";"""Liptovsky Mikulas - Skolska""";"Liptovsky Mikulas";"7773792";"pm10";"14.767";"2025-04-09T08:00:00+02:00"
"2163350";"""Liptovsky Mikulas - Skolska""";"Liptovsky Mikulas";"7773776";"pm25";"7.2636";"2025-04-09T08:00:00+02:00"
"2163350";"""Liptovsky Mikulas - Skolska""";"Liptovsky Mikulas";"7776021";"so2";"1.87025";"2025-04-09T08:00:00+02:00"
"2163351";"""Ruzomberok - Riadok""";"Ruzomberok";"7773557";"co";"391.26800000000003";"2025-04-09T08:00:00+02:00"
"2163351";"""Ruzomberok - Riadok""";"Ruzomberok";"7772715";"no2";"42.1118";"2025-04-09T08:00:00+02:00"
"2163351";"""Ruzomberok - Riadok""";"Ruzomberok";"7773700";"o3";"11.8422";"2025-04-09T08:00:00+02:00"
"2163351";"""Ruzomberok - Riadok""";"Ruzomberok";"7773422";"pm10";"13.722";"2025-04-09T08:00:00+02:00"
"2163351";"""Ruzomberok - Riadok""";"Ruzomberok";"7775040";"pm25";"9.9333";"2025-04-09T08:00:00+02:00"
"2163351";"""Ruzomberok - Riadok""";"Ruzomberok";"7774793";"so2";"2.65149";"2025-04-09T08:00:00+02:00"
"2163391";"""Chopok - EMEP/O3""";"Horna Lehota";"7773052";"no2";"2.2074";"2025-04-09T08:00:00+02:00"
