location_id;location_name;locality;sensor_id;parameter;value;datetime
"2162071";"Hainburg Krankenhaus";"2410 Hainburg an der Donau";"7774537";"no";"2.49429988";"2024-03-11T13:00:00+01:00"
"2162071";"Hainburg Krankenhaus";"2410 Hainburg an der Donau";"7775227";"no2";"31.6484";"2025-04-09T08:00:00+02:00"
"2162071";"Hainburg Krankenhaus";"2410 Hainburg an der Donau";"7773264";"o3";"20.952";"2025-04-09T08:00:00+02:00"
"2162071";"Hainburg Krankenhaus";"2410 Hainburg an der Donau";"7773418";"pm10";"22";"2025-04-09T08:00:00+02:00"
"2162071";"Hainburg Krankenhaus";"2410 Hainburg an der Donau";"7773925";"pm25";"16.7";"2025-04-09T08:00:00+02:00"
"2162071";"Hainburg Krankenhaus";"2410 Hainburg an der Donau";"7774059";"so2";"2.25";"2025-04-09T08:00:00+02:00"
"2163357";"""Bratislava - Mamateyova""";"Bratislava - mestska cast Petrzalka";"7775138";"no2";"44.888";"2025-04-09T08:00:00+02:00"
"2163357";"""Bratislava - Mamateyova""";"Bratislava - mestska cast Petrzalka";"7773845";"o3";"25.53";"2025-04-09T08:00:00+02:00"
"2163357";"""Bratislava - Mamateyova""";"Bratislava - mestska cast Petrzalka";"7774038";"pm10";"12.617";"2025-04-09T08:00:00+02:00"
"2163357";"""Bratislava - Mamateyova""";"Bratislava - mestska cast Petrzalka";"7774313";"pm25";"8.6697";"2025-04-09T08:00:00+02:00"
"2163357";"""Bratislava - Mamateyova""";"Bratislava - mestska cast Petrzalka";"7774718";"so2";"1.98835";"2025-04-09T08:00:00+02:00"
